Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age,height,weight
F,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,Bronze,25.0,167.0,61.0
F,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,25.0,167.0,61.0
F,Germany,GER,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,29.0,167.0,61.0
F,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Bronze,18.0,158.0,43.0
M,West Germany-1,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,23.0,182.0,79.0
M,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,Silver,23.0,181.0,100.0
M,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Sprint,Silver,27.0,181.0,100.0
M,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Silver,27.0,181.0,100.0
M,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Bronze,31.0,181.0,100.0
M,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,23.0,173.0,71.0
M,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,26.0,189.0,86.0
M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Silver,24.0,180.0,77.0
F,Austria,AUT,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Javelin Throw,Gold,33.0,161.0,68.0
M,Switzerland-1,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,Silver,28.0,181.0,100.0
M,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Gold,20.0,189.0,80.0
M,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,Gold,20.0,189.0,80.0
M,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",Silver,23.0,178.0,62.0
M,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",Gold,27.0,178.0,62.0
M,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,25.0,176.0,69.0
M,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,29.0,176.0,69.0
F,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,24.0,168.0,65.0
M,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Gold,21.0,190.0,84.0
M,West Germany,FRG,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Gold,22.0,186.0,77.0
M,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,21.0,176.0,61.0
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,23.0,188.0,130.0
M,United States,USA,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,27.0,188.0,130.0
M,United States,USA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,31.0,188.0,130.0
M,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze,35.0,188.0,130.0
M,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,Silver,23.0,190.0,71.0
M,Germany-1,GER,1960 Winter,1960,Winter,Squaw Valley,Figure Skating,Figure Skating Mixed Pairs,Silver,18.0,176.0,74.0
M,Germany-1,GER,1964 Winter,1964,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,Silver,21.0,176.0,74.0
M,Germany,GER,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,Silver,33.0,190.0,88.0
F,United States,USA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Silver,39.0,175.0,59.0
M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold,26.0,188.0,95.0
M,France,FRA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,Bronze,26.0,180.0,69.0
M,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,24.0,191.0,91.0
M,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,Gold,23.0,170.0,68.0
F,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,29.0,160.0,57.0
F,France,FRA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Heavyweight,Silver,23.0,174.0,70.0
F,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold,31.0,167.0,60.0
F,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze,31.0,167.0,60.0
M,France,FRA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver,26.0,173.0,78.0
M,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxless Fours,Silver,23.0,190.0,77.0
M,Tanzania,TAN,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,27.0,183.0,59.0
M,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",Bronze,19.0,173.0,52.0
M,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Sprint,Gold,22.0,182.0,90.0
M,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Gold,22.0,182.0,90.0
M,United States,USA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Three Person Keelboat,Silver,26.0,185.0,84.0
F,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Bronze,25.0,167.0,68.0
